url_host_registered_domain,url_host_name,url,vulnerability_class,nuclei_tags
goengineer.com,cdn.goengineer.com,https://cdn.goengineer.com/s-028832_showuniquearchiveserverfiles_v3%203.sql?getSourceVideo=False,LEAK_DATABASE_OR_FULL_BACKUP,"backup,exposure,database"
yandex.ru,mirror.yandex.ru,https://mirror.yandex.ru/gentoo-portage/mail-filter/gld/files/tables.sql,LEAK_DATABASE_OR_FULL_BACKUP,"backup,exposure,database"
google.com,docs.cloud.google.com,https://docs.cloud.google.com/java/docs/reference/google-cloud-dataplex/latest/com.google.cloud.dataplex.v1.DataQualityRuleTemplate.Sql,LEAK_DATABASE_OR_FULL_BACKUP,"backup,exposure,database"
ahall.se,git.ahall.se,https://git.ahall.se/magnus/smon/rss/branch/main/sql/00015.sql,LEAK_DATABASE_OR_FULL_BACKUP,"backup,exposure,database"
lemonporcelain.ir,ar.lemonporcelain.ir,http://ar.lemonporcelain.ir/%D9%85%D8%B9%D8%B1%D8%B6-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA/spage/.git/HEAD,LEAK_GIT_REPO,"exposure,git,source"
gooten.com,gooten.com,https://gooten.com/wp-content/uploads/2025/05/Gooten-API.postman_collection.json,LEAK_TERRAFORM_OR_POSTMAN_KEYS,"exposure,secrets,terraform"
yuri-kuzovkov.ru,www.yuri-kuzovkov.ru,http://www.yuri-kuzovkov.ru/journalism/archiv/mifs/,RCE_IVANTI_EPMM_CVE-2023-35082,"ivanti,epmm,cve-2023-35082,rce"
yuri-kuzovkov.ru,www.yuri-kuzovkov.ru,http://www.yuri-kuzovkov.ru/journalism/mifs/,RCE_IVANTI_EPMM_CVE-2023-35082,"ivanti,epmm,cve-2023-35082,rce"
yuri-kuzovkov.ru,www.yuri-kuzovkov.ru,http://www.yuri-kuzovkov.ru/journalism/mifs/11_petr/,RCE_IVANTI_EPMM_CVE-2023-35082,"ivanti,epmm,cve-2023-35082,rce"
yuri-kuzovkov.ru,www.yuri-kuzovkov.ru,http://www.yuri-kuzovkov.ru/journalism/mifs/59_landlis/,RCE_IVANTI_EPMM_CVE-2023-35082,"ivanti,epmm,cve-2023-35082,rce"
calotec.se,www.calotec.se,https://www.calotec.se/en/production-material/terminals/joint/,RCE_JUPYTER_UNAUTH_TERMINAL,"jupyter,unauth,rce"
calotec.se,www.calotec.se,https://www.calotec.se/en/production-material/terminals/parallel-terminal/push-on-receptacle-lock-and-block-lateral-double-hook/,RCE_JUPYTER_UNAUTH_TERMINAL,"jupyter,unauth,rce"
certex.se,www.certex.se,https://www.certex.se/en/products/steel-wire-ropes-accessories/wire-rope-accessories/terminals/crane-end-stop-with-padeye-esp-p714546,RCE_JUPYTER_UNAUTH_TERMINAL,"jupyter,unauth,rce"
certex.se,www.certex.se,https://www.certex.se/en/products/steel-wire-ropes-accessories/wire-rope-accessories/terminals/open-swage-socket-talurit-r-sttf-p714575,RCE_JUPYTER_UNAUTH_TERMINAL,"jupyter,unauth,rce"
certex.se,www.certex.se,https://www.certex.se/en/products/steel-wire-ropes-accessories/wire-rope-accessories/terminals/stainless-eye-terminal-p322881,RCE_JUPYTER_UNAUTH_TERMINAL,"jupyter,unauth,rce"
gondtc.com,spamfilter.gondtc.com,https://spamfilter.gondtc.com/console/login.jsp,RCE_WEBLOGIC_CVE-2020-14882,"weblogic,cve-2020-14882,rce"
